Building,ROOM,Type,Dept,Class,Title,Meeting_Dates,Meeting Days,Meeting_Times,Room_Capacity,Max_Enrl,Actual_Enrl,,,
SRTC,139B,CL,GENERAL POOL CLASSROOM/ CHEMISTRY,CH 284,GEN CHEM WORKSHOP I,Sep 26-Dec 10,R,0800-0950,20,10,10,,,
SRTC,139B,CL,GENERAL POOL CLASSROOM/ CHEMISTRY,LING 170,SKILLS ENHANCEMENT,Sep 26-Dec 10,T,1200-1350,20,20,11,,,
SRTC,139B,CL,GENERAL POOL CLASSROOM/ CHEMISTRY,WR 410/ 510,TOP: POPULAR BOOK IN THE US,Sep 26-Dec 10,TR,1400-1550,20,16,7,,,
SRTC,139B,CL,GENERAL POOL CLASSROOM/ CHEMISTRY,CH 410/ 510,TOP: ORGANOMETALLIC CHEMISTRY,Sep 26-Dec 10,TR,1640-1830,20,20,15,,,
,,,,,,,,,,,,,,
SRTC,139D,CL,GENERAL POOL CLASSROOM/ CHEMISTRY,UNST 421,CAP: SUS FOOD SYS & ED FARM,Sep 26-Dec 10,M,0900-1130,20,15,15,,,
SRTC,139D,CL,GENERAL POOL CLASSROOM/ CHEMISTRY,LING 114,READING LEVEL 1,Sep 26-Dec 10,MWF,1245-1350,20,20,13,,,
SRTC,139D,CL,GENERAL POOL CLASSROOM/ CHEMISTRY,BI 410/ 510,TOP: PLANT REPRODUCT BIOLOGY,Sep 26-Dec 10,MWF,1515-1620,20,16,7,,,
SRTC,139D,CL,GENERAL POOL CLASSROOM/ CHEMISTRY,CH 384,ORG CHEM WORKSHOP I,Sep 26-Dec 10,R,1400-1550,20,12,10,,,
SRTC,139D,CL,GENERAL POOL CLASSROOM/ CHEMISTRY,LING 170,SKILLS ENHANCEMENT,Sep 26-Dec 10,T,1200-1350,20,20,10,,,
SRTC,139D,CL,GENERAL POOL CLASSROOM/ CHEMISTRY,LING 126,SPEAKING/LISTENING LEVEL 2,Sep 26-Dec 10,TR,1000-1150,20,20,15,,,
SRTC,139D,CL,GENERAL POOL CLASSROOM/ CHEMISTRY,UNST 421,CAP: IMMIGRATION & REFUGEE,Sep 26-Dec 10,TR,1600-1750,20,16,16,,,
,,,,,,,,,,,,,,
URBN,205,CL,GENERAL POOL CLASSROOM,PHL 371H/ 371U,PHILOSOPHY AND THE CITY,Sep 26-Dec 10,MWF,0900-1005,20,20,11,,,
URBN,205,CL,GENERAL POOL CLASSROOM,CHN 101,FIRST-YEAR CHINESE TM1,Sep 26-Dec 10,MWF,1200-1330,20,20,14,,,
URBN,205,CL,GENERAL POOL CLASSROOM,PA 582,PUBLIC BUDGETING,Sep 26-Dec 10,R,1600-1830,20,20,14,,,
URBN,205,CL,GENERAL POOL CLASSROOM,PS 423,CIVIL LIBERTIES,Sep 26-Dec 10,T,1730-2110,20,20,16,,,
URBN,205,CL,GENERAL POOL CLASSROOM,LING 170,PEP ACAL,Sep 26-Dec 10,TR,1000-1150,20,20,11,,,
URBN,205,CL,GENERAL POOL CLASSROOM,JST 333U,ISRAELI CULTURE & SOCIETY,Sep 26-Dec 10,TR,1200-1350,20,20,21,,,
